consulta,clase
"hola, yo ya me inscribí para el boleto estudiantil provincial. quisiera saber cuando estará habilitado o si me llegará algún tipo de información. ",Boleto Universitario
desde febrero me dejaron de cargar en mi sube el boleto estudiantil y yo cumplo con los requisitos pedidos . necesito que me la carguen !  ,Boleto Universitario
"hola, tengo una duda, rendi el final de elementos de matemática, me cargaron la nota pero la materia me sigue apareciendo como regular. como es eso? ",Situación Académica
"hola tengo una consulta , si desaprobé un final y se me vencen las oportunidades para volver a rendirlo , me queda la nota de ese final?  ",Exámenes
"hola no puedo registrarme para el boleto estudiantil, me dice que las credenciales son incorrectas.  ",Boleto Universitario
solicito certificado de materias aprobadas ,Pedido de Certificados
"buenas tardes! cuando procedo a inscribir las materias a cursar me sale el siguiente mensaje ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas. quisiera saber que debo hacer para realizar la inscripción de las materias. me despido cordialmente de ustedes, esperando una respuesta satisfactoria a mi solicitud.  ",Requisitos de Ingreso
necesitaria saber mi aituacion academica ,Situación Académica
"no puedo acceder, probablemente sea por poner una contraseña incorrecta. me dice &quot;estudiante inhabilitado&quot;. gracias. ",Reincorporación
hola que tal! quería saber cual seria el motivo de la cual no me estarían acreditando el subsidio de la sube ya que me es de gran ayuda así como a muchos de los demás! desde ya muchas gracias y saludos cordiales! ,Boleto Universitario
hola quería saber porque no puedo realizar el tramite de la sube?? desde ya muchas gracias. ,Boleto Universitario
"hola, buenas tardes. quisiera inscribirme para el ciclo lectivo 2019 y no me llega el email para seguir con la inscripcion. espero respuesta. saludos! ",Ingreso a la Universidad
"buenas tardes, queria saber si es posible hacer cambios de comision y materias a las que me inscribi para el segundo cuatrimestre. gracias! ",Cambio de Comisión
"hola qué tal! quería comentarles que estoy teniendo un inconveniente para inscribirme el mes de agosto ya que no me llega el mail para completar el formulario, por favor si me pondrían brindar información estaría muy agradecida. desde ya muchas gracias.  ",Ingreso a la Universidad
como ago para conseguir mi numero d legajo?  ,Consulta por Legajo
"buenas tardes! quería saber por que aún no se me acredito el saldo en la sube, hice el trámite del boleto estudiantil provincial hace un mes y días. cuando entro a la página me dice que el formulario no pudo completarse y abajo dice que ya lo tengo asignado que quiere decir eso? gracias!  ",Boleto Universitario
"hola quería saber xq no me realizan las precargas para la sube, para poder viajar gratis?! ",Boleto Universitario
"no se me acredita el boleto estudiantil provincial, realicé el trámite el 14 de abril. y en el portal mi sube me aparece que no tengo ningún beneficio  ",Boleto Universitario
"buenas tardes quería consultar que debo hacer que tramite para volver a ser alumna regular de la carrera licenciatura en administracion. mi condicion es libre , y quiero retomar por favor. gracias saludos  ",Reincorporación
"buenas, quiero inscribirme a las materias del primer cuatrimestre y no puedo porque me dice que no cumplo con los requisitos. eso a qué se debe si presenté toda la documentación?  ",Requisitos de Ingreso
no puedo ingresar a mi perfil de estudiante  ,Reincorporación
"estimada gente de unlu , necesitaba obtener de manera actualizada. , las materias aprobadas de la tecnicatura en trabajo social y de la licenciatura , muchas gracias. raquel cornago ",Pedido de Certificados
"hola, una consulta. yo por problemas personales no me voy a poder presentar en el examen libre de elementos de la matematica, queria saber como puedo cancelar la inscripción o si sola mente no me presento.  ",Exámenes
solicito certificado de porcentaje de materias aprobadas. ,Pedido de Certificados
"buenas , quiero ingresar para anotarme en los finales , y me aparece que no cumplo con los requisitos del sistema , que tengo q hacer ??  ",Requisitos de Ingreso
"olvide mi contraseña para acceder al perfil de estudiante, quiero actualizarla, ingrese los datos que me pedía pero todavía no me llego el mail para que pueda actualizarla. ",Problemas con la Clave
"buenas tardes, me comunico con ustedes para encontrarle la solucion a mi problema. no puedo ingresar a la cuenta de mi legajo, porque olvide mi contraseña. mande la solicitud para que me llegue el email y recuperar mi clave, pero todavia no me llego el email. ",Problemas con la Clave
hola buenas tardes.  quiero hacer la inscripción  a cursadas  pero  no puedo porque  no me acepta .  me dice  :ud  no cumple con los requisitos  necesarios  para confirmar  su inscripción a cursadas.  ,Requisitos de Ingreso
hola quisiera entrar al sistema con mi numero de legajo para anotarme a una carrera pero no me deja como puedo hacer? desde ya gracias  ,Requisitos de Ingreso
"buenas tardes, me comunico por que no puedo restablecer mi contraseña para anotarme en las materia, no me envia el mail a mi casilla. gracias y saludos. ",Problemas con la Clave
necesitaría obtener el certificado de materias rendidas ,Pedido de Certificados
"hola!  yo hice el tramite por el boleto estudiantil hace tiempo, pero hace ya unos dos meses aproximado, la sube ya no se me recarga al apoyarla en la terminal electrónica de la universidad. quería saber si ustedes me podrían asesorar que puedo hacer y porqué ya no me carga.  espero respuesta gracias y saludos. ",Boleto Universitario
"hola,no puedo anotarme a las materias del primer cuatrimestre y no tengo el numero de legajo si me pueden ayudar gracias. ",Cursadas
solicitar el porcentaje de materias aprobadas. cuánto tarda este trámite. gracias. ,Pedido de Certificados
"hola mi nombre es braian yo realize el taller de enfermeria en febrebro y la promocione con un 10 , pero en la pagina de la universidad en el area de situacion academica me aparece que no la curse queria saber el motivo de esto . muchas gracias  ",Situación Académica
quiero tramitar el boleto escolar y me dice que ya lo tengo asignado. el año pasado yo di de baja la tarjeta que utilizaba ya que me lo habian robado.  como puedo hacer para gestionarla? ,Boleto Universitario
"buenos dias , quisiera por favor pedir el porcentaje de materias aprobadas  pero no puedo entrar al sistema ! muchas gracias ",Pedido de Certificados
cuando fui a presentar los papeles para confirmar la inscripción me dijeron que esperara 20 días e ingresara mi numero de documento para acceder a mi perfil de aspirante. ya pasaron los 20 días y al intentar acceder me figura que no existen datos. &iquest;que puedo hacer para lograr ingresar? ,Ingreso a la Universidad
"buenos días , quisiera saber cómo solicitar el cambio de carrera ?  desde ya muchas gracias y espero una pronta respuesta  ",Cambio de Carrera
"buenas tardes, quería saber qué día inicia el primer cuatrimestre.. gracias espero su respuesta ",Cursadas
no me puedo anotar a las materias porque no cumplo los requisitos necesarios y no sabría cuáles son  ,Requisitos de Ingreso
hola quisiera saber sin hay respuestas sobre el tramite que realice por el boleto estudiantil. muchas gracias ,Boleto Universitario
hola. olvide mi nunero de legajo y contraseña como puedo hacer para recuperarla ,Consulta por Legajo
"deseo anotarme en la carrera de licenciatura en biologia y no he recibido ningun mail, para continuar con la inscripcion saludos!!!!! ",Ingreso a la Universidad
"hola, buenas noches. necesitaban saber cuando comenzaríamos el desarrollo del primer cuatrimestre, en el calendario académico dice el 6/03 pero quería averiguar por los paros que estan programados para el 6 y 7 de marzo. desde ya muchas gracias. ",Cursadas
no me puedo inscribir para rendir las materias  ,Exámenes
"hola buenos días, me olvide mi clave de ingreso para inscribirme. como hago para recuperarlo ?   ",Problemas con la Clave
"estimados, necesitaba el certificado de materias aprobadas para presentar en mi empleo. agradezco su atención. curieses leticia ",Pedido de Certificados
"hola. disculpen la molestia. querría saber el motivo por el cual no figura la nota del final del taller de lectura y comprension de textos en la parte de finales pero si figuran las notas de otras meterias aprobadas. gracias, saludos. ",Situación Académica
"buenos dias, hace un mes hice el tramite de boleto estudiantil y no me llego ningun mail cargandome saldo ",Boleto Universitario
"ayer comencé la inscripción para la cerrera de profesorado de historia y no recibí el correo para poder continuar con la inscripción, hoy intenté nuevamente y el sistema me informa que ya se reenvió el correo pero éste nunca llegó. debo seguir esperando o me debo acercar a alguna sede para completar el trámite? desde ya, muchas gracias.  alejandro. ",Ingreso a la Universidad
"buenos días, he dado el día 14 de diciembre mi última materia. realicé solicitud de título por página web, deseo saber si es correcto o si debo presentarme en luján para realizar algún otro trámite. muchas gracias, aguardo respuesta. saludos ",Consulta sobre Título Universitario
"hola, queria saber si me podian enviar el formulario porque se me extravio la sube con el boleto estudiantil. ",Boleto Universitario
"buenas tardes, queria saber si tarda en llegar el correo para continuar con el tramite de inscripcion de las carreras. porque aun no me llega para poder continuar. ",Ingreso a la Universidad
hasta cuando se puede hacer cambio de comision? ,Cambio de Comisión
"buenas tardes, quería saber por qué motivo las cargas subes de cada mes ya no se me acreditan. si tuvieran algún tipo de respuesta, se los agradecería. muchas gracias! ",Boleto Universitario
"hola, queria saber como tengo que hacer para cambiar mi mail y me lleguen los horarios que tengo a partir de marzo  ",Datos Personales
quería consultar &iquest; esta disponible la   inscripción a materias de carrera de grado durante el mes de febrero?. ,Cursadas
"hola quiero anotarme a las materias ,para el segundo cuatri ,pero no puedo ,dice que no estoy en condiciones,me podrian decir que tengo que hacer,muchas gracias  ",Requisitos de Ingreso
queria saber cuando voy a poder ingresar a mi legajo para poder ver si me puedo anotar en las materias ,Cursadas
buenas! llame a sube por el tema del boleto estudiantil y me dijeron como que hay datos mios que no estan actualizados en la universidad. que por eso no lo estaria cobrando. soy de sede campana  ,Boleto Universitario
"me rebota la clave para acceder a mi perfil y tramité para renovar la clave, pero no me llega al mail. ",Ingreso a la Universidad
holaa como estan me olvide mi clave la restableci pero no me llego ningun correo y ahora nose como hacer porque me tenia que anotar esta semana a la asignaturas porfavor como hago. ,Problemas con la Clave
buenos días! en octubre hice la inscripción para la carrera de contador publico!  la persona que me inscribio me dijo que masomenos en diciembre entrará como aspirante para así poder ver mi nro de comisión y el horario que me tocaría para el taller. intento ingresar como aspirante con mi nro de documento y me dice que no hay registros del aspirante o nro de documento ingresado ,Ingreso a la Universidad
"quisiera saber como hacer para actualizar los datos para el boleto estudiantil, ya que al momento de otorgarme el beneficio no cursaba materias en lujan y ahora si lo hago, lo cual hace que el saldo que me acrediten ahora no me alcance para cubrir todos los viajes que realizo al mes. quisiera saber si ustedes hacen esto o donde tengo que consultar. gracias. ",Boleto Universitario
"buenas tardes, quería saber cuantas oportunidades me quedan para rendir el final de legislación aduanera y de inst. del derecho público. muchas gracias. ",Exámenes
"solicito se me envíe, a la brevedad, mail con la respuesta al tramite iniciado para la obtención del boleto estudiantil.  dicho trámite fue realizado con fecha 14/03 y aún no recibí respuesta ",Boleto Universitario
hola buenas tardes !! necesitaría el porcentaje de materias. se puede tramitar vía on line? ,Pedido de Certificados
"hola buenas tardes, quisiera inscribirme en la carrera de trabajo social y quiero saber como hago, cuales son los requisitos. muchas gracias. ",Ingreso a la Universidad
no me llega a mi casilla de correo electronico el mail para la preinscripcion a las cursadas del primer cuatrimestre ,Ingreso a la Universidad
"buen día, estoy intentando anotarme a las materias y no puedo ya que al seguir todos los pasos me dice que no tengo los requisitos necesarios para anotarme. &iquest;qué puedo hacer? espero su respuesta. ",Requisitos de Ingreso
hola yo habia ido ah la universidad ah terminar la inscripcion y me dijieron que despues tenia que ingresar en mi perfil desde la pagina y cuando intento ingresar me pone que no existen datos para este aspirante. si me podrian dar una solucion por que yo deveria comenzar el 05 de marzo y aun no se el horario que tengo que ah cursar. desde ya muchas gracias. ,Ingreso a la Universidad
&quot;ud. no cumple con los requisitos necesarios para confirmar su inscripción a cursadas.&quot;   &iquest;que tendría que hacer para poder estar valido para poder inscribirme?  ,Requisitos de Ingreso
"hola buenos días, quería saber cómo hago para elegir las materias los días y el horario para cursar, porque no me figura otra cosa, y seguí los pasos que dice en la hoja que me dieron al inscribirme pero no me aparece nada. ",Cursadas
el sistema sigue rechazado mi legajo y    clave. por lo cual me impide inscribirme a las materias correspondientes al primer cuatrimestre ,Reincorporación
buenos dias como hago para poder inscribirme en materias  ,Cursadas
"buenos días. me interesa hacer el reingreso a la carrera, y anotarme en las materias 30022 y 30024. olvidé la contraseña y no me llega el mail para reestablecerla. gracias  ",Problemas con la Clave
"buenos dias. queria consultar si mi tramite para el boleto estudiantil provincial ya fue hecho, porque me dice que si. ya realice la solicitud via web, ahora tengo que presentar algo o esperar a que me manden un email? ",Boleto Universitario
"buenas tardes,no puedo ingresar para la inscricion de examenes pongo numero de lejago y la clave que me dieron y me dice que es incorrecto ,me podrian decir que puedo hacer para ingresar .muchas gracias.   ",Problemas con la Clave
"mi consulta es cuanto tiempo tarda en llegar el numero de legajo al hotmail, después de haber hecho la confirmación de materias a cursar en el primer cuatrimestre. desde ya muchas gracias. ",Consulta por Legajo
"buenos dias, perdi mi sube y la di de baja y tenia el boleto estudiantil asignado, como puedo hacer para configurarlo a mi nueva sube? ",Boleto Universitario
"buenas tardes, quería preguntar si hay que hacer algún tramite para la acreditación del boleto estudiantil, el año pasado ya lo tenía pero lo que va en el año no se me acreditó el boleto. muchas gracias y espero su respuesta, saludos. ",Boleto Universitario
necesitaría saber como tengo que hacer para anotarme el siguiente año (2016) en la sede de san miguel para seguir cursando la licenciatura de geografía. tengo que solicitar el pase desde lujan? o directamente anotarme en san miguel? se puede hacer via web? ,Cursadas
"buenas, estoy intentando iniciar el tramite para el boleto estudiantil provincial y cuando cliqueo en iniciar tramite de boleto estudiantil me dice la persona ya tiene un beneficio asignado  lo cierto es que yo ya llene el formulario un dia pero nunca me llego un mail de confirmación del servicio, e intente poniendo la sube en los aparatos que están en los pasillos de la unlu y me salio un error. ",Boleto Universitario
"hola buenos dias, no me puedo inscribir a las cursadas para rendir el primer cuatrimestre.. ",Requisitos de Ingreso
"buenas tardes,    les escribo para saber como puedo obtener el acceso para realizar la inscripción a la carrera seleccionada.  espero respuesta.   saludos y gracias. ",Ingreso a la Universidad
"hola.soy beneficiaria del boleto de colectivo.el mes anterior mi sube se daño, desde la sube me dijieron que tenia que darla de baja y adherir una nueva y que el beneficio se me mantenía (así lo hice).como no se me cargo el beneficio de este mes quería saber si tengo que volver a realizar el trámite para que me den el beneficio.gracias ",Boleto Universitario
soy aspirante y no me llega el email que me tienen que enviar para poder anotarme en las materias.  ,Ingreso a la Universidad
"estimados,   necesito si por favor me pueden enviar   el analitico correspondiente a mi carrera. intento entraar por la plataforma digital (servicios acad&egrave;mics) y me dice que ya no tengo mas la cuenta.  saludos,  manuela. ",Pedido de Certificados
"buenas noches, en el sistema me figura que ya tengo un beneficio asignado pero cuando ingreso al sistema de sube me dice que no tengo ningún beneficio. quisiera saber como se podría solucionar. desde ya muchas gracias  ",Boleto Universitario
"hola, buen día. soy aspirante 2019, y me inscribí el 29/10 pero todavía no aparecen mis datos y no entiendo el por qué. si me pueden asesorar, muchas gracias.  ",Ingreso a la Universidad
quiero toda la informacion sobre la carrera! ,Ingreso a la Universidad
no me llegan los mensajes al gmail ,Ingreso a la Universidad
"buenos dias,  me remito a ustedes para consultar el por qué de que no pueda hacer la solicitud de título correspondiente a técnica universitaria en comercio exterior y aduanas.  por favor si podrían darme una respuesta a la brevedad ya que necesitaría con suma urgencia la certificación.  gracias. ",Consulta sobre Título Universitario
buenas. queria consultar porque en este año que comenzo aun no se me han acreditado los beneficios de precarga por boleto estudiantil? intente apoyar la sube en varios centros de carga pero no me dice que no tengo disponible ninguna recarga. y en la plataforma de la universidad me dice que cuento con dicho beneficio. si podrian ayudarme o informarme estaria agradecido. ,Boleto Universitario
no puedo ingrasar a mi cuenta con mi contraseña. intente en &quot;&iquest;he olvidado mi contraseña? y aparece como estudiante inhabilitado ,Requisitos de Ingreso
todavía no me cargaron la sube queria saber qe tengo que hacer para que me la cargen de nuevo ,Boleto Universitario
no puedo acceder a los dias y horarios de las materias ,Cursadas
"buenas, cuando voy a activar el boleto estudiantil me aparece que no poseo ningun beneficio; estando ya registrada. espero su respuesta muchas gracias! ",Boleto Universitario
"buenos días, tenia mi sube con el beneficio la di de baja porque se rompió, ahora habilite una nueva y no puedo obtener el saldo que me quedo en la anterior sube. y tampoco tengo el beneficio  ",Boleto Universitario
"quisiera saber porque no figuro ,aún, como aspirante a cursar la carrera en la que me inscribí.                             gracias   ",Ingreso a la Universidad
"burnos dias.hace varios dias estoy esperando el reestablecimiento de la clave de ingreso a la plataforma y no me ha llegado nada a mi casilla de correo, a los fines de que no se produzca mas demora quisiera solicitar que se corrobore la casilla de mail ya que la misma es vanina.aquiles04@hotmail.com ",Problemas con la Clave
buenas tardes estoy tratando de ingresar al perfil de estudiantes y me dice que mi número de legajo o clave son incorrectos. estoy segura de haber puesto bien ambas. de todos nodos intente cambiar la clave. mande la solicitud me avisa en el mensajr que revise mi correo. pero no me llega nada al mismo....muchas gracias. ,Problemas con la Clave
"queria una nueva clave ya que la mia no me deja ingresar a consultar las fechas de finales, y cuando quise crear otra clave dice que estoy inhabilitado. muchas gracias, espero su respuesta ",Requisitos de Ingreso
hola queria saber en que fecha empiezan a inscribir gracias ,Ingreso a la Universidad
"hola. yo queria saber cuando voy a poder ingresar a mi perfil ya que menlo bloquearon porque me faltaban vacunas que no sabia que me tenia que poner. la ultima dosis me la doy a fin de marzo, pero necesito aparecer en los listados y obviamente poder usar la plataforma. si pudiera tener solucion seria de gran ayuda. muchas gracias ",Requisitos de Ingreso
mi consulta es sobre la materia introduccion al trabajo social yo la curse en 2016 mi pregunta es el vencimiento de la regularidad si es de 2 o3 años si es de 2 años mi ultima posibilidad seria ahora en diciembre esa es mi consulta.muchas gracias  ,Situación Académica
"el motivo de mi consulta es que no recuerdo mi clave de estudiante, hice el tramite para restablecerla y no me llega ni un mail a mi correo. como lo puedo solucionar?. muchas gracias. ",Problemas con la Clave
estimados: quisiera consultar mi estado de tramite de carga sube. saludos! ,Boleto Universitario
"buenos días. soy beneficiaria del boleto provincial desde el año pasado, desde este año no pude recibir el saldo que me correspondería, siempre que pongo la tarjeta en la maquina me dice que no tengo cargas pendientes. anteriormente les había consultado a ustedes y me habían notificado que el crédito estaría acreditado entre el 15 y el 20 de marzo, aun así todavía no pude cargar mi sube. desde ya muchas gracias ",Boleto Universitario
"hola...he solicitado el boleto estudiantil provincial hace un tiempo y no se donde ver en que situación esta el trámite, pues no me ha llegado ninguna información de carga o demás al respecto. gracias ",Boleto Universitario
hola que tal quiero incribirme a universidad pero no me llega nada al email para hacer la segunda parte de la incripcion web &iquest;que puedo hacer? ,Ingreso a la Universidad
no puedo ingresar a servicio académico para anotarme a los finales ni restablecer mi contraseña ya que me dice que soy alumno inhabilitado. no entiendo cual es el problema. gracias  ,Requisitos de Ingreso
hola. no me carga el saldo de la sube hace 2 meses.  ,Boleto Universitario
buenas tardes      necesitaria obtener una nueva clave para poder ingresar a la pagina de la universidad.                             gracias.  ,Problemas con la Clave
no recuerdo mi contraseña ,Problemas con la Clave
buenas tardes!.queria saber como puedo recuperar mi clave para acceder y poder inscribirme a las cursadas cuatrimestrales ya que cumpli con todos los pasos de&quot;olvide mi contraseña&quot; y aún no llego nada a mi mail.solicito mi contraseña para poder anotarme a las cursadas.desde ya muchas gracias! ,Problemas con la Clave
"buenas tardes,hace 4 meses inicie el boleto estudiantil y aun no impacto pregunte en el area de becas y me sugirieron mandarle este mail desde ya muchas gracias .natalia ",Boleto Universitario
"buenas tardes, mediante la presente solicito el certificado analítico de asignaturas aprobadas, la misma será presentada para tramitar el ingreso a la docencia en  la secretaria de inspección del distrito de escobar                               atte. alvez ",Pedido de Certificados
"hola queria sabes porque no me deja ingresar al sistema, me dice que no cumplo con los requisitos para ingresar. y me quiero anotar en las materias. ",Requisitos de Ingreso
hola buenos dias. tengo un problema y es que no puedo entrar a anotarme a los finales. cuando ingreso legajo y contraseña  me salta que no cumplo con los requisitos. quisiera saber que tengo que hacer para poder anotarme a los finales? muchas gracias ,Requisitos de Ingreso
hola! olvidé la contraseña y no me lkega el mail de recuperación.  gracias ,Problemas con la Clave
"buenas tardes hace unos meses que no puedo cargar mi tarjeta sube, me dice que no tengo cargas pendientes y que no soy beneficiario, pero ya estoy registrada en la pagina de la unlu, llame a sube y no me dan solución alguna &iquest;como debo hacer para solucionar este problema? ",Boleto Universitario
necesito anotarme a las materias del 1er cuatrimestre de la carrera y me dice &quot;se ha enviado un email al correo registrado para continuar la inscripcion&quot; y no me lo mandan. que hacer?  ,Ingreso a la Universidad
"hola buenas tardes, mi consulta va dirijida ,  acerca del inconveniente de no poder realizar la carga de sube ,   con el beneficio del boleto provincial, me gustaria saber cual es el incoveniente, y cuando se solucionaria el problema, para poder disfrutar dem beneficio? ",Boleto Universitario
hola buenos días! quería saber cuando voy a poder anotarme en las materias ya que yo estaba inhabilitada por que se me había vencido la prorroga del analítico . pero ya entregue todo lo que correspondía hace una semana. espero su respuesta y dispulpe la molestia. saludos! ,Requisitos de Ingreso
"me comunico con la intención de saber en que situacion académica me encuentro, ya que califique con cuatro en  el taller de lectura y comprension de textos. ",Situación Académica
hola necesitaría un certificado de materias aprobadas con el porcentaje correspondiente para presentar en el consejo escolar ,Pedido de Certificados
"hola buenos días. querría saber porque no puedo hacer el trámite del boleto estudiantil. me dice, error de credenciales ",Boleto Universitario
"hola buenas tardes , mi inconveniente es que ingreso a la inscripcion y no me mandan al correo el resto de los pasos para continuar la inscripcion..muchas gracias ",Ingreso a la Universidad
a quien corresponda  la consulta es como debo inscribirme en una materia optativa? lo puedo hacer por internet?  me interesa cursar diseño de investigación educativa codigo 30163  agradecere vuestra respuesta  silvia mujica ,Cursadas
"hola no puedo entrar, yo ya soy estudiante, por favor me podrían ayudar con esto, o informarme que tengo que hacer. desde ya muchas gracias.  ",Problemas con la Clave
"buenas tardes, quería saber cuando nos van a poner la carga del boleto estudiantil universitario ya que empezamos la cursada en marzo y no tenemos el saldo en la sube para seguir cursando. y además aumento el boleto y no nos alcanza el dinero para seguir cursando todos los días. gracias! saludos. ",Boleto Universitario
"a quien corresponda: buenos días. les comento que año pasado  me había inscrito para la carrera de contador publico, no pude arrancar el taller que se dicto en febrero. ahora me quiero volver anotar para empezar el 2&deg; cuatrimestre y no me deja. (ud. ya se encuentra inscripto como aspirante para el año 2017. no es posible realizar la registración.) desde ya muchas gracias ",Requisitos de Ingreso
"hola buenas tardes, quise  solicitar el boleto gratuito y me dice que ya tengo un beneficio asignado, como puedo saber que beneficio se me otorgo. desde ya muchas gracias, saludos cordiales. ",Boleto Universitario
"buenas tardes,  la consulta se debe a que cuando intento iniciar sesión en mi perfil de estudiante recibo un mensaje señalando que no puedo ingresar porque me encuentro inhabilitado.  es urgente ya que al no poder ingresar no puedo consultar las fechas de finales que me corresponden.   cómo soluciono el inconveniente?  gracias. ",Requisitos de Ingreso
"estimados, buen día.  quiero realizar el tramite del boleto provincial pero el sistema dice que la solicitud no puede completarse porque la persona ya tiene un beneficio asignado.  y eso no es correcto ya que no tengo ningún plan, ni tarifa social ni nada por el estilo. me podrán ayudar o asesorar con este tema? quedo a la espera. muchas gracias.  ",Boleto Universitario
"queria consultar si me puedo cambiar de comision ya que los horarios por tema laboral , no me permite poder cursar alguna materia . desde ya muchas gracias  ",Cambio de Comisión
no me deja inscribirme a las cursadas. dice que no cumplo con los requisitos necesarios para confirmar mi inscripcion a cursadas ,Requisitos de Ingreso
"buenos dias, queria saber mi situación académica, si estoy libre o regular en la carrera. mi otra consulta se debe al hecho que intenté inscribirme a la cursada de ideas políticas 20690 y no me figura en la nómina de materias para cursar. desde ya muchas gracias ",Cursadas
no recuerdo mi clave hice todo el procedimiento y nunca me llego el mail. ,Problemas con la Clave
"buenas tardes!   he olvidado mi n&deg; de legajo, me lo podrían facilitar?  desde ya muchísimas gracias! ",Consulta por Legajo
no recibo el mail para poder inscribirme a las materias. ,Cursadas
"quiero inscribirme a materias. hace 5 años deje de estudiar, y quisiera retomar ",Reincorporación
"buenas tardes yo me inscribi el dia viernes y me dijeron que hoy podia anotarme en los horarios de cursada pero me dice que no cumplo con los requisitos, que puedo hacer? ",Requisitos de Ingreso
necesito constancia de titulo en tramite.  recien envie la solicitud de tramite de titulo. gracias  ,Consulta sobre Título Universitario
solicito recuperar la clave de mi perfil ya que no me llega en mail para poder recuperarla ,Ingreso a la Universidad
"buenos dias, necesito saber por qué a la hora inscribirme a las materias del primer cuatrimestre me dice que no cumplo con los requisitos?. lo que si aclaro es que no realicé el taller en febrero por inconvenientes personales con la idea de hacerlo en julio. ",Requisitos de Ingreso
"buenas tardes, me anote al final de administración del 19/12 pero necesitaría cambiarlo al de 21/12. esto puede ser posible? gracias saludos ",Exámenes
buen dia  el año pasado obtuve todos los meses el beneficio de la sube. este año note que mis compañeros lo siguen teniendo pero al momento de querer actualizarlo en la terminal automatica de la sube dice que &quot;no hay recargas&quot;  necesito registrarme nuevamente? es mi ultimo año y el año anterior aprobe muchas materias.  si me podrian solucionar esta duda se los agradeceria.  saludos ,Boleto Universitario
"necesito el boleto estudiantil provincial, ya tengo la sube registrada a mi nombre y ya complete el formulario de inscripción  hace mucho ya pero nunca me acreditaron ninguna recarga.  no se donde reclamar para que me den el boleto estudiantil provincial.  espero que me puedan ayudar. no se que más hacer.  ",Boleto Universitario
"hola : queria ver si podrian hacer algo. porque , el correo que se supone que me tiene que llegar para inscribirme via web no me llega  ",Ingreso a la Universidad
"no puedo iniciar el proceso para el boleto estudiantil, me aparece &quot;error de credenciales&quot; ",Boleto Universitario
hola buenas tardes queria consultar porque yo inicie por la web la inscripcion y me dice que me reenviaron al correo para seguir con los siguientes pasos pero no me llego nada...queria saber que tengo que hacer..si acercarme a la universidad o esperar...desde ya muchas gracias... ,Ingreso a la Universidad
reseteo la clave pero no me llega ningun correo ,Problemas con la Clave
"hola ,intente ingresar al sistema para anotarme en las materias del próximo cuatrimestre y no pude que podría hacer? gracias.  ",Requisitos de Ingreso
"hola, quiero saber como tengo que hacer para continuar la carrera tec.en comer exterior, y si me reconocen todas las materias aprobadas,estando libre. muchas gracias  ",Reincorporación
hola .que horarios de cursada al taller de comprecion de texto en la sede san miguel . gracias!!! ,Cursadas
